id,name,type
1,黄帝,人物
2,少典,人物
3,轩辕,人物
4,神农氏,人物
5,蚩尤,人物
6,炎帝,人物
7,尧,人物
8,舜,人物
9,禹,人物
10,颛顼,人物
11,帝喾,人物
12,丹朱,人物
13,共工,人物
14,驩兜,人物
15,鲧,人物
16,嫘祖,人物
17,西陵,地点
18,涿鹿,地点
19,阪泉,地点
20,江水,地点
21,若水,地点
22,丸山,地点
23,岱宗,地点
24,空桐,地点
25,鸡头,地点
26,交趾,地点
27,流沙,地点
28,幽陵,地点
29,崇山,地点
30,三危,地点
31,羽山,地点
32,天子,官职
33,司空,官职
34,司徒,官职
35,大理,官职
36,《尚书》,典籍
37,《春秋》,典籍
38,《国语》,典籍
39,黄帝与蚩尤战于涿鹿之野,事件
40,尧禅让于舜,事件
